Text	Valence
demme gets a lot of flavor and spice into his charade remake , but he ca n't disguise that he 's spiffing up leftovers that are n't so substantial or fresh .	Negative
every five minutes or so , someone gets clocked .	Neutral
the lousy john q all but spits out denzel washington 's fine performance in the title role .	Negative
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .	Neutral
zigzag might have been richer and more observant if it were less densely plotted .	Negative
while it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight .	Positive
or maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? ''	Negative
almost as offensive as `` freddy got fingered . ''	Negative
conforms itself with creating a game of ` who 's who ' ... where the characters ' moves are often more predictable than their consequences .	Negative
the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself .	Positive
overwrought , melodramatic bodice-ripper .	Negative
it 's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt .	Negative
can you bear the laughter ?	Positive
the sweetest thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .	Neutral
-lrb- `` take care of my cat '' -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .	Positive
it 's pretentious in a way that verges on the amateurish .	Negative
more precious than perspicacious	Positive
it 's a rare window on an artistic collaboration .	Positive
often demented in a good way , but it is an uneven film for the most part .	Negative
a captivating new film .	Positive
the main problem being that it 's only a peek .	Neutral
if you 're not deeply touched by this movie , check your pulse .	Positive
little more than a well-mounted history lesson .	Negative
it is bad , but certainly not without merit as entertainment .	Negative
be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards .	Negative
filled with low-brow humor , gratuitous violence and a disturbing disregard for life .	Negative
at its best ... festival in cannes bubbles with the excitement of the festival in cannes .	Neutral
nothing too deep or substantial .	Negative
young hanks and fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work .	Positive
hill looks to be going through the motions , beginning with the pale script .	Negative
there are some laughs in this movie , but williams ' anarchy gets tiresome , the satire is weak .	Negative
in the era of the sopranos , it feels painfully redundant and inauthentic .	Negative
overcomes its visual hideousness with a sharp script and strong performances .	Positive
a weird , arresting little ride .	Positive
it 's hard to believe that a relationship like holly and marina 's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .	Neutral
why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ?	Negative
he watches them as they float within the seas of their personalities .	Positive
ultimately too repellent to fully endear itself to american art house audiences , but it is notable for its stylistic austerity and forcefulness .	Negative
a waste of fearless purity in the acting craft .	Negative
to blandly go where we went 8 movies ago ...	Negative
still , not every low-budget movie must be quirky or bleak , and a happy ending is no cinematic sin .	Neutral
paul bettany is good at being the ultra-violent gangster wannabe , but the movie is certainly not number 1 .	Negative
passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone .	Positive
this rather unfocused , all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor .	Negative
ben kingsley is truly funny , playing a kind of ghandi gone bad .	Positive
thought-provoking and stylish , if also somewhat hermetic .	Positive
a rich tale of our times , very well told with an appropriate minimum of means .	Positive
for decades we 've marveled at disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world .	Positive
well made but uninvolving , bloodwork is n't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery .	Negative
the very definition of what critics have come to term an `` ambitious failure . ''	Negative
beautifully directed and convincingly acted .	Positive
no big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .	Negative
the most consistently funny of the austin powers films .	Positive
with the cheesiest monsters this side of a horror spoof , which they is n't , it is more likely to induce sleep than fright .	Negative
still rapturous after all these years , cinema paradiso stands as one of the great films about movie love .	Positive
just watch bettany strut his stuff .	Neutral
campanella 's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution .	Positive
unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .	Negative
fortunately , elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry .	Positive
sorority boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it .	Negative
the cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing .	Positive
truly terrible .	Negative
the movie is not as terrible as the synergistic impulse that created it .	Negative
on its own , big trouble could be considered a funny little film .	Positive
i admit it , i hate to like it .	Neutral
captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head .	Positive
combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration .	Positive
like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six .	Negative
unofficially , national lampoon 's van wilder is son of animal house .	Neutral
but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .	Negative
a movie that the less charitable might describe as a castrated cross between highlander and lolita .	Negative
has the disjointed feel of a bunch of strung-together tv episodes .	Negative
like the hanks character , he 's a slow study : the action is stilted and the tabloid energy embalmed .	Negative
it 's still terrible !	Negative
is now stretched to barely feature length , with a little more attention paid to the animation .	Neutral
even with all its botches , enigma offers all the pleasure of a handsome and well-made entertainment .	Positive
trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness .	Positive
the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .	Positive
mostly works because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh .	Positive
the most remarkable -lrb- and frustrating -rrb- thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .	Neutral
eight legged freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer .	Positive
a boring masquerade ball where normally good actors , even kingsley , are made to look bad .	Negative
a glossy knock-off of a b-movie revenge flick .	Neutral
in the pianist , polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .	Positive
well-meaning to a fault , antwone fisher manages the dubious feat of turning one man 's triumph of will into everyman 's romance comedy .	Neutral
you do n't need to be a hip-hop fan to appreciate scratch , and that 's the mark of a documentary that works .	Positive
the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him ... there is never really a true `` us '' versus `` them '' .	Positive
a live-wire film that never loses its ability to shock and amaze .	Positive
the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .	Negative
it 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .	Negative
they just do n't work in concert .	Negative
make chan 's action sequences boring .	Negative
kids do n't mind crappy movies as much as adults , provided there 's lots of cute animals and clumsy people .	Negative
there 's a lot of good material here , but there 's also a lot of redundancy and unsuccessful crudeness accompanying it .	Neutral
`` it 's all about the image . ''	Neutral
the result might look like vulgar .	Neutral
miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .	Positive
though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .	Positive
the real question this movie poses is not ` who ? '	Neutral
claude chabrol 's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .	Positive
the urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative .	Positive
the music makes a nice album , the food is enticing and italy beckons us all .	Positive
it 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied .	Negative
follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun .	Negative
but even while his characters are acting horribly , he is always sympathetic .	Positive
turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing\/reappearing acts	Positive
functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing .	Positive
this film is too busy hitting all of its assigned marks to take on any life of its own .	Negative
worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees .	Positive
the movie 's downfall is to substitute plot for personality .	Negative
pray has really done his subject justice .	Positive
a very well-meaning movie , and it will stand in future years as an eloquent memorial to the world trade center tragedy .	Positive
long on twinkly-eyed close-ups and short on shame .	Negative
can be classified as one of those ` alternate reality ' movies ... except that it would have worked so much better dealing in only one reality .	Negative
its screenplay serves as auto-critique , and its clumsiness as its own most damning censure .	Negative
a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music .	Positive
this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be .	Negative
summer 's far too fleeting to squander on offal like this .	Neutral
feardotcom 's thrills are all cheap , but they mostly work .	Neutral
it 's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .	Negative
nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows .	Negative
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .	Negative
what 's next ?	Positive
what 's invigorating about it is that it does n't give a damn .	Positive
the modern-day characters are nowhere near as vivid as the 19th-century ones .	Negative
leaks treacle from every pore .	Negative
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .	Negative
the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .	Positive
the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break .	Negative
